Question,Answer
شرایط تاجر بودن چیست؟,تاجر کسی است که شغل معمولی خود را معاملات تجارتی قرار دهد. (ماده 1)
خرید یا تحصیل مال منقول برای چه منظوری جزء معاملات تجارتی محسوب می‌شود؟,برای فروش یا اجاره، چه تصرفاتی در آن شده باشد یا نشده باشد. (ماده 2)
انواع عملیاتی که جزء معاملات تجارتی محسوب می‌شوند، کدامند؟,عملیات دلالی، حق‌العمل‌کاری، عاملی و تأسیسات مربوط به انجام بعضی امور. (ماده 2)
تأسیس و به کار انداختن کارخانه تحت چه شرایطی جزء معاملات تجارتی است؟,برای رفع حوائج شخصی نباشد. (ماده 2)
چه نوع معاملاتی بین تجار و کسبه تجارتی محسوب می‌شود؟,کلیه معاملات بین تجار و کسبه و صرافان و بانک‌ها. (ماده 3)
دفاتری که تاجر باید داشته باشد کدامند؟,دفتر روزنامه، دفتر کل، دفتر دارایی، و دفتر کپیه. (ماده 6)
دفتر روزنامه چه نوع اطلاعاتی را باید ثبت کند؟,مطالبات، دیون، داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و جمیع واردات و صادرات تجارتی. (ماده 7)
دفتر کل چگونه باید تنظیم شود؟,کلیه معاملات را لااقل هفته یک مرتبه از دفتر روزنامه استخراج و ثبت کند. (ماده 8)
دفتر دارایی چه اطلاعاتی را شامل می‌شود؟,صورت جامعی از کلیه دارایی منقول و غیر منقول و دیون و مطالبات سال گذشته. (ماده 9)
نحوه ثبت مراسلات و مخابرات در دفتر کپیه چگونه است؟,کلیه مراسلات و مخابرات و صورت‌حساب‌های صادره باید ترتیب تاریخ ثبت شود. (ماده 10)
قبل از استفاده، کدام دفاتر باید توسط نماینده اداره ثبت امضا شوند؟,دفاتر مذکور در ماده 6 به استثناء دفتر کپیه. (ماده 11)
چه مواردی در دفتری که برای امضا به متصدی امضا تسلیم می‌شود، باید رعایت شود؟,دارای نمره ترتیبی و قیطان کشیده باشد و صفحات آن شمرده شود. (ماده 12)
ممنوعیت‌هایی در نگهداری دفاتر چه هستند؟,تراشیدن، حک‌کردن، جای سفید گذاشتن بیش از حد معمول، و در حاشیه یا بین سطور نوشتن ممنوع است. (ماده 13)
دفاتر مطابق مقررات چه اعتباری دارند؟,بین تجار در امور تجارتی سندیت دارند. (ماده 14)
تخلف از کدام مواد مستلزم جزای نقدی است؟,تخلف از ماده 6 و ماده 11. (ماده 15)
چه کسانی باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند؟,کلیه اشخاصی که به شغل تجارت اشتغال دارند، اعم از ایرانی و خارجی با استثنای کسبه جزء. (ماده 16)
وظایف وزارت عدلیه در رابطه با دفتر ثبت تجارتی چیست؟,مقررات مربوط به دفتر ثبت تجارتی را معین می‌کند. (ماده 17)
تاجر باید چه اطلاعاتی را در اسناد خود ذکر کند؟,تصریح نماید که تحت چه نمره‌ای به ثبت رسیده. (ماده 18)
شناسایی کسبه جزء در چه صورتی انجام می‌گیرد؟,مطابق مقررات نظامنامه وزارت عدلیه. (ماده 19)
انواع شرکت‌های تجارتی کدامند؟,شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف. (ماده 20)
